,id,name,type,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,KStars_Type,ra_degrees,dec_degrees
10425,10426,NGC4552,G,3.2972040280360426,0.21914935864458135,Vir,8.13,8.0,150.0,10.68,10.08,7.62,6.94,6.73,24.11,E,,,,274.0,0.000914,,,,089,,,,"2MASX J12353988+1233217,MCG +02-32-149,PGC 041968,SDSS J123539.80+123322.8,UGC 07760",,,,False,8,188.915875,12.556333333333335
10448,10449,NGC4569,G,3.3022931172466494,0.2297367198126514,Vir,9.12,3.82,22.0,10.18,9.54,7.5,6.79,6.58,23.16,Sab,,,,-235.0,-0.000784,,,,090,,,,"2MASX J12364981+1309463,IRAS 12343+1326,MCG +02-32-155,PGC 042089,SDSS J123649.79+130946.5,UGC 07786",,,,False,8,189.20745833333334,13.162944444444445
10458,10459,NGC4579,G,3.3062004731095516,0.20626640469645763,Vir,5.01,3.84,90.0,10.44,10.3,7.37,6.71,6.49,22.49,Sb,,,,1680.0,0.00562,,,,058,,,,"2MASX J12374359+1149051,IRAS 12351+1205,MCG +02-32-160,PGC 042168,SDSS J123743.52+114905.4,UGC 07796",,,,False,8,189.43133333333333,11.818194444444444
10469,10470,NGC4590,GCl,3.313799200340422,-0.46675388667452467,Hya,6.6,,,10.26,7.96,,,,,,0.0618,-2.75,1.78,-93.0,-0.00031,,,,068,,,,MWSC 2059,,,,False,14,189.86670833333332,-26.74302777777778
10473,10474,NGC4594,G,3.3160841272194914,-0.20286058858666314,Vir,8.45,4.91,90.0,9.15,8.59,5.89,5.21,4.96,22.26,Sa,,,,1090.0,0.003642,,,,104,,,,"2MASX J12395949-1137230,IRAS 12373-1120,MCG -02-32-020,PGC 042407,UGCA 293",Sombrero Galaxy,,,False,8,189.997625,-11.623055555555556
10504,10505,NGC4621,G,3.3250151224460507,0.20327898279346068,Vir,4.55,3.21,165.0,10.57,9.56,7.65,6.97,6.75,22.71,E,,,,431.0,0.001438,,,,059,,,,"2MASX J12420232+1138489,MCG +02-32-183,PGC 042628,SDSS J124202.25+113848.8,UGC 07858",,,,False,8,190.50933333333333,11.647027777777778
10536,10537,NGC4649,G,3.3321229758247974,0.2016325555324127,Vir,6.78,5.45,105.0,9.79,8.79,6.67,6.0,5.74,22.81,E,,,,1015.0,0.00339,,,,060,,,,"2MASS J12434000+1133099,2MASX J12434000+1133093,MCG +02-33-002,PGC 042831,SDSS J124339.97+113309.7,UGC 07898",,,,False,8,190.91658333333334,11.552694444444445
10633,10634,NGC4736,G,3.363617442177035,0.7176871454389661,CVn,7.74,6.68,105.0,8.71,8.24,6.03,5.35,5.11,21.79,SABa,,,,287.0,0.00096,,,,094,,,,"2MASX J12505314+4107125,IRAS 12485+4123,MCG +07-26-058,PGC 043495,UGC 07996",,IRAS F12485+4123 (in FSC version 1) was removed from version 2.,,False,8,192.72108333333333,41.120444444444445
10731,10732,NGC4826,G,3.3891123392255427,0.37843925689624935,Com,10.52,5.33,114.0,9.27,8.52,6.27,5.58,5.33,22.68,SABa,,,,402.0,0.001341,,,,064,,,,"2MASX J12564369+2140575,IRAS 12542+2157,MCG +04-31-001,PGC 044182,UGC 08062","Black Eye Galaxy,Evil Eye Galaxy",,,False,8,194.18183333333334,21.682972222222222
10954,10955,NGC5024,GCl,3.4597683578899243,0.31711081104957417,Com,9.0,,,8.95,7.79,,,,,,0.0157,-0.11,-1.35,-63.0,-0.00021,,,,053,,,,MWSC 2094,,,,False,14,198.23012500000002,18.16911111111111
