,id,name,BRNtype,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,Id,CAT,CAT_ID,H_id,Name_type
282,10758,NGC4845,G,3.394751934371049,0.027503480129343977,Vir,5.5,1.2,82.0,11.9,10.97,8.81,8.08,7.79,23.46,SABa,,,,1107.0,0.0037,,,,,4910,,,"2MASX J12580124+0134320,IRAS 12554+0150,MCG +00-33-025,PGC 044392,SDSS J125801.18+013433.0,SDSS J125801.19+013433.0,UGC 08078",,Identification as NGC 4910 is uncertain.,,False,283,NGC,4845,H283,galaxy
283,10769,NGC4856,G,3.4005755163085367,-0.2625353349670737,Vir,4.25,1.57,38.0,11.44,10.62,8.38,7.74,7.47,23.23,S0-a,,,,1332.0,0.004453,,,,,,,,"2MASX J12592127-1502318,MCG -02-33-078,PGC 044582,UGCA 313",,,,False,284,NGC,4856,H284,galaxy
284,10779,NGC4866,G,3.4010023947547534,0.24733157792747865,Vir,5.77,0.98,88.0,12.0,11.08,8.86,8.19,7.92,24.19,S0-a,,,,1977.0,0.006615,,,,,,,,"2MASX J12592713+1410157,MCG +02-33-045,PGC 044600,UGC 08102",,,,False,285,NGC,4866,H285,galaxy
285,10817,NGC4900,G,3.406236200849172,0.04365844161127594,Vir,2.13,2.02,150.0,11.89,11.36,9.51,8.97,8.64,22.23,Sc,,0.479,-1.046,964.0,0.00322,,,,,,,,"2MASX J13003914+0230052,IRAS 12580+0246,MCG +01-33-035,PGC 044797,SDSS J130036.55+023002.2,SDSS J130039.10+023005.1,SDSS J130039.24+023002.6,SDSS J130039.24+023002.8,SDSS J130039.25+023002.6,UGC 08116",,Multiple SDSS entries describe this object.,,False,286,NGC,4900,H286,galaxy
286,10884,NGC4958,G,3.4287633109487667,-0.13998025414675633,Vir,4.79,1.2,7.0,11.49,10.59,8.49,7.83,7.61,23.53,S0,,,,1404.0,0.00469,,,,,,,,"2MASX J13054887-0801129,MCG -01-33-084,PGC 045313,UGCA 323",,,,False,287,NGC,4958,H287,galaxy
287,10923,NGC4995,G,3.4456181009793805,-0.13671891251393248,Vir,2.43,1.49,99.0,11.92,11.11,9.11,8.39,8.23,22.23,SABb,,,,1775.0,0.005937,,,,,,,,"2MASX J13094065-0750002,IRAS 13070-0734,MCG -01-34-007,PGC 045643,UGCA 329",,,,False,288,NGC,4995,H288,galaxy
288,10935,NGC5005,G,3.4511144336821196,0.6468049611923463,CVn,4.82,1.52,70.0,10.54,10.71,7.46,6.73,6.44,21.82,SABb,,,,961.0,0.003212,,,,,,,,"2MASX J13105631+3703321,C 029,IRAS 13086+3719,MCG +06-29-052,PGC 045749,UGC 08256",,,,False,289,NGC,5005,H289,galaxy
289,10964,NGC5033,G,3.4621129168517704,0.6386848168474427,CVn,9.84,4.58,172.0,10.7,10.68,7.92,7.24,6.96,23.78,Sc,,,,850.0,0.00284,,,,,,,,"2MASX J13132753+3635371,IRAS 13111+3651,MCG +06-29-062,PGC 045948,SDSS J131327.49+363538.0,UGC 08307",,,,False,290,NGC,5033,H290,galaxy
290,10985,NGC5054,G,3.47745872429993,-0.29033309700085114,Vir,5.04,2.9,171.0,11.64,10.79,8.52,7.82,7.59,23.45,Sbc,,,,1750.0,0.005855,,,,,,,,"2MASX J13165848-1638054,IRAS 13142-1622,MCG -03-34-039,PGC 046247,UGCA 344",,,,False,291,NGC,5054,H291,galaxy
291,11139,NGC5195,G,3.534261919247129,0.8249497483160454,CVn,5.5,4.36,79.0,10.5,9.58,7.21,6.46,6.25,22.84,SBa,,,,571.0,0.00191,,,,,,,,"2MASX J13295958+4715580,IRAS 13278+4731,MCG +08-25-014,PGC 047413,UGC 08494",,,,False,292,NGC,5195,H292,Whirlpool Galaxy companion
